Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C16, C17, C19, C20, C3",0805,7,22uF,
"C10, C11, C12, C15, C28, C39, C4, C5, C9",0805,9,10uF,
C13,0805,1,100nF,
"C18, C22, C23, C24, C25, C27, C29, C31, C32, C33, C34, C35, C44, C_CLOSE1",0603,14,100nF,
"C2, C36, C37, C38, C7",0603,5,1uF,
"C21, C30",0603,2,2.2uF,
C26,0603,1,0Ω,
"C40, C41",0603,2,6.8pF,
"C42, C43",0603,2,20pF,
C6,1206,1,44uF,
C8,0603,1,47nF,
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
C_BULK1,0805,1,4.7uF,
D2,0402,1,LED,
J1,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,
J2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,
"J3, J4, J5, J6, J7",PinHeader_2x03_P2.54mm_Horizontal,5,Conn_01x03,
L1,1008,1,DFE25012F-1ROM=P2,
L2,IND-SMD_L4.0-W4.0-A,1,1.5uH,
L3,IND-SMD_L3.0-W3.0,1,5.6uH,
L4,0603,1,15uH,
L5,L0603,1,FCM1608KF-601T03,
"R1, R2",0201,2,5.1k,
"R10, R11, R12, R13, R17, R18, R21, R22, R23, R24, R25, R26, R28, R7, R9",0201,15,10k,
R14,0201,1,30.1k,
R15,0201,1,5.23k,
R16,0201,1,383,
R19,0402,1,100K,
R20,0201,1,22.1K,
R27,0402,1,160 kΩ,
R3,0201,1,22 Ω-47 Ω,
"R4, R5",0201,2,22-47Ω,
R6,0201,1,0Ω,
R72,0402,1,100kΩ,
R8,0201,1,22.1kΩ,
"SW1, SW2",SW_PUSH_6mm,2,TS‑1088‑AR02016,
U1,WIRELM-SMD_M-SX1278S2,1,M-SX1278S2,C845532
U2,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U3,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362
U4,TPS63070_VQFN15_3x2mm,1,TPS63070RNMR,C109322
U5,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,
"U6, U8",SOT-23-6,2,LMR51430,
U7,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
