Designator,Mid X,Mid Y,Rotation,Layer
C1,190.325,-100.8,0.0,top
C10,156.735,-111.375,90.0,top
C11,159.31,-111.375,90.0,top
C12,161.635,-111.325,90.0,top
C13,168.56,-111.075,90.0,top
C14,170.91,-111.075,90.0,top
C15,173.01,-111.075,90.0,top
C16,175.46,-111.125,90.0,top
C17,171.195,-116.525,270.0,top
C18,133.195,-118.6,90.0,top
C19,136.545,-118.5,90.0,top
C2,181.92,-84.175,0.0,top
C20,141.245,-122.9,0.0,top
C21,145.845,-114.225,0.0,top
C22,161.05,-69.6,0.0,top
C23,155.1,-74.3,0.0,top
C24,156.065,-81.15,90.0,top
C25,163.54,-80.625,270.0,top
C26,168.52,-67.425,0.0,top
C27,174.525,-87.1,0.0,bottom
C28,185.5,-101.175,0.0,top
C29,174.275,-97.375,0.0,top
C3,190.075,-104.35,0.0,top
C30,126.55,-77.95,270.0,top
C31,147.475,-74.955,0.0,top
C32,147.475,-77.465,0.0,top
C33,147.475,-79.975,0.0,top
C34,131.72,-66.3,90.0,top
C35,134.23,-66.3,90.0,top
C36,136.74,-66.3,90.0,top
C37,139.25,-66.3,90.0,top
C38,141.76,-66.3,90.0,top
C39,147.625,-70.725,0.0,top
C4,111.945,-111.225,0.0,top
C40,160.175,-90.525,180.0,top
C41,160.3,-87.875,0.0,top
C42,151.8,-92.525,0.0,top
C43,151.55,-85.7,180.0,top
C44,151.95,-103.175,90.0,top
C5,105.895,-114.45,180.0,top
C6,111.52,-118.0,0.0,top
C7,97.745,-125.175,90.0,top
C8,98.27,-120.375,90.0,top
C9,97.745,-114.75,0.0,top
CARD1,136.05,-97.875,0.0,top
C_BULK1,192.12,-80.5,0.0,top
C_CLOSE1,187.22,-84.55,0.0,top
D2,117.57,-126.74,270.0,top
J1,118.1875,-115.705,90.0,top
J2,196.07,-70.725,180.0,top
J3,180.755,-94.59,0.0,top
J4,118.305,-102.06,180.0,top
J5,118.305,-92.39,180.0,top
J6,118.305,-82.72,180.0,top
J7,118.305,-73.05,180.0,top
L1,103.695,-117.725,0.0,top
L2,158.395,-117.775,270.0,top
L3,141.575,-117.775,0.0,top
L4,178.4375,-101.05,0.0,top
L5,126.875,-74.025,0.0,top
R1,139.625,-59.95,180.0,top
R10,112.27,-120.32,90.0,top
R11,113.775,-126.055,90.0,top
R12,117.27,-123.2,270.0,top
R13,114.645,-124.705,90.0,top
R14,113.595,-128.095,90.0,top
R15,101.795,-128.03,90.0,top
R16,104.72,-128.83,90.0,top
R17,110.17,-128.605,90.0,top
R18,167.39,-119.675,0.0,top
R19,149.855,-121.4,0.0,top
R2,135.35,-59.975,180.0,top
R20,146.615,-123.775,0.0,top
R21,146.06,-102.52,0.0,top
R22,146.06,-104.27,0.0,top
R23,145.99,-94.55,0.0,top
R24,145.99,-96.3,0.0,top
R25,145.99,-98.05,0.0,top
R26,145.99,-99.8,0.0,top
R27,174.665,-100.8,0.0,top
R28,167.95,-93.4,180.0,top
R3,191.37,-68.41,0.0,top
R4,191.37,-70.16,0.0,top
R5,191.37,-71.91,0.0,top
R6,191.37,-73.66,0.0,top
R7,115.47,-121.195,270.0,top
R72,191.68,-76.05,0.0,top
R8,174.83,-103.85,0.0,top
R9,163.44,-119.525,180.0,top
SW1,157.95,-100.425,90.0,top
SW2,166.5,-100.425,90.0,top
U1,180.495,-73.3,0.0,top
U2,159.975,-80.75,0.0,top
U3,108.17,-122.6,0.0,top
U4,165.185,-115.38,0.0,top
U5,136.575,-77.575,315.0,top
U6,146.3375,-118.175,180.0,top
U7,155.625,-69.345,0.0,top
U8,174.6625,-92.1,180.0,top
USB1,137.325,-56.305,180.0,top
X1,162.85,-89.25,90.0,top
X2,151.45,-89.25,90.0,top
